Insecticide,Insecticide_Concentration,Ae.aegypti_Diag_time(min),Ae._albopictus_Diag_time(min),Cx.pipiens_Diag_time(min),Cx.quinquefasciatus_Diag_time(min),Cx.tarsalis_Diag_time(min)
Chlorpyrifos,20,45,45,90,45,60
Deltamethrin,0.75,30,30,45,60,-
Etofenprox,12.5,15,30,15,30,60
Fenthion,800,-,-,75,45,45
Malathion,400,15,30,45,45,45
Naled,2.25,30,30,45,45,45
Permethrin,43,10,10,30,30,30
Prallethrin,0.05,-,-,60,60,-
Pyrethrum,15,15,30,45,45,30
Sumethrin,20,10,45,30,45,30
